"course_number","course_name","course_description"
"EECS 504","Foundations of Computer Vision","The course lays a framework for the extraction of useful information from images. Topics include representations of visual content (e.g., functions, points, graphs); visual invariance; mathematical and computational models of visual content; optimization methods for vision. Theoretical treatment and concrete examples, e.g., feature learning, segmentation image stitching, both covered."
"ECE 505","Computational Data Science and Machine Learning","Introduction to computational methods for identifying patterns and outliers in large data sets. Topics include the singular and eigenvalue decomposition, independent component analysis, graph analysis, clustering, linear, regularized, sparse and non-linear model fitting, deep, convolutional and recurrent neural networks. Students program methods; lectures and labs emphasize computational thinking and reasoning."
"ECE 506","Design of Power Electronics","The course presents both the theoretical and practical design, analysis, construction, and measurement of circuits and components in different types of power converters. The course will teach concepts and present case studies through lectures, homework, design problems, and a final project."
"EECS 507","Introduction to Embedded System Research","Establish a foundation in research related to embedded system analysis, design, and synthesis. Lectures, assigned reading, and student presentations used to survey fundamental embedded systems topics. The second half-semester focuses on an important and timely research topic. Survey-only (3 credit) and project (4 credit) versions."
"ECE 508","Control and Modeling of Power Electronics","The course presents both the theoretical and practical modeling and control of power converters. Topics include small-signal models; digital and analog control; switched, sampled-data, and averaged models; large signal considerations; distributed power; and tools for computer modeling and simulation."
"ECE 509","BioMEMS","Covers the latest advances in bioMEMS, with specific attention to Microsystems targeting development biology and cell culture. We will use an organism's development –from genome to multicellular tissue–as a framework for teaching bioMEMS devices: from microPCR chips to microfluidic mixers to tissue scaffolds. The aim is to provide students familiar with microfabrication and Microsystems with a context from which to view and evaluate bioMEMS devices and innovations. We will cover implantable and diagnostic microsystems in the later part of the course."
"ECE 510","Plasma Chemistry and Plasma Surface Interactions","Focuses on the plasma chemistry and plasma-surface interactions occurring in low temperature plasmas as used in, for example, materials processing, chemical conversion, biotechnology, environmental remediation, and photon sources. Emphasis is on the atomic and molecular processes that produce chemically reactive species by electron and ion-molecule collisions, neutral-neutral reactions; and reactions with inorganic, organic and liquid surfaces. Plasma-surface interactions will be addressed that result in deposition, etching and sputtering. Radiation transport producing photoionization and photodissociation, and trapping will be discussed."
"ECE 511","Integrated Analog/Digital Interface Circuits","Covers most of the well known analog to digital conversion schemes. These include the flash, folding, multi-step and pipeline Nyquist rate, architectures. Oversampling converters are also discussed. Practical design work is a significant part of this course. Students design and model complete converters. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"ECE 512","Amorphous and Microcrystalline Semiconductor Thin Film Devices","Introduction and fundamentals of physical, optical and electrical properties of amorphous and microcrystalline semiconductor based devices: MIM structures, Schottky diodes, p-i-n junctions, heterojunctions, MIS structures, thin-film transistors, solar cells, threshold and memory switching devices and large area x-ray radiation detectors."
"ECE 513","Flat Panel Displays","Introduction and fundamentals to the passive, active, reflective and emissive flat panel display technologies. This course will discuss the physics, operating principles, properties and technology of the flat panel displays."
"ECE 514","Advanced MEMS Devices and Technologies","Advanced micro electro mechanical systems (MEMS) devices and technologies. Transduction techniques, including piezoelectric, electrothermal, and resonant techniques. Chemical, gas, and biological sensors, microfluidic and biomedical devices. Micromachining technologies such as laser machining and microdrilling, EDM, materials such as SiC and diamond. Sensor and actuator analysis and design through CAD."
"ECE 515","Integrated Microsystems","Review of interface electronics for sense and drive and their influence on device performance, interface standards, MEMS and circuit noise sources, packaging and assembly techniques, testing and calibration approaches and communication in integrated microsystems. Applications, including RF MEMS, optical MEMS, bioMEMS, and microfluidics. Design project using CAD and report preparation."
"ECE 516","Medical Imaging Systems","Principles of modern medical imaging systems. For each modality the basic physics is described, leading to a systems model of the imager. Fundamental similarities between the imaging equations of different modalities will be stressed. Modalities covered include radiography, x-ray computed tomography (CT), NMR imaging (MRI) and real-time ultra-sound."
"ECE 517","Low Temperature Plasmas","Addresses the science and technology of low temperature, partially ionized, non-equilibrium plasmas as used for materials processing, biotechnology/medicine, environment/energy, lasers, displays and lighting. The course topics include the fundamentals of electron-atom/molecule collisions, electron and ion transport; and electrostatic, magnetostatic and electromagnetic interactions with plasmas. Fundamental aspects of the kinetics of plasmas, electron energy distributions and diagnostics are addressed. Applications of these fundamentals to electrical discharges and plasma sources are discussed."
"ECE 518","Magnetosphere and Solar Wind","General principles of magnetohydrodynamics; theory of the expanding atmospheres; properties of solar wind, interaction of solar wind with the magneto-sphere of the Earth and other planets; bow shock and magnetotail, trapped particles, auroras."
"ECE 519","Plasma Generation and Diagnostics Laboratory","Laboratory techniques for plasma ionization and diagnosis relevant to plasma processing, propulsion, vacuum electronics, and fusion. Plasma generation includes: high voltage-DC, radio frequency and electron beam sustained discharges. Diagnostics include: Langmuir probes, microwave cavity perturbation, microwave interferometry, laser schlieren and optical emission spectroscopy. Plasma parameters measured are: electron/ion density and electron temperature."
"ECE 520","Solid State Physics","Crystal structure; Phonons; Introduction to Quantum Mechanics, Free electron Fermi gas; Low dimensional conductor; Electronic structure – Energy bands; Properties of semiconductors; Dielectrics response; Light absorption and emission; Magnetic effects; Superconductivity."
"ECE 521","Solid State Devices","Physics of operation of three terminal device structures important for high frequency analog or high speed digital applications. Emphasis on proven field-effect and bipolar-junction transistors, also including current and speculative nanoelectronic devices. Detailed study of static current-voltage characteristics and models for small and large signal behavior."
"EECS 522","Analog Integrated Circuits","Review of integrated circuit fabrication technologies and BJT and MOS transistor models. Detailed analysis and design of analog integrated circuits, including power amplifiers, voltage references, voltage regulators, rectifiers, oscillators, multipliers, mixers, phase detectors and phase-locked loops. Design projects. Lectures and discussion."
"EECS 523","Digital Integrated Technology","Integrated circuit fabrication overview, relationships between processing choices and device performance characteristics. Long-channel device I-V review, short-channel MOSFET I-V characteristics including velocity saturation, mobility degradation, hot carriers, gate depletion. MOS device scaling strategies, silicon-on-insulator, lightly-doped drain structures, on-chip interconnect parasitics and performance. Major CMOS scaling challenges. Process and circuit simulation."
"ECE 524","Organic Electronic Devices and Applications","Organic semiconductors optical/electrical properties, how organics are deposited/patterned to achieve thin-film device structures, device physics, engineering and applications (light emission from OLEDs, various structures/adaptations for high efficiency displays/lighting), organic thin-film transistor physics, applications and organic solar cells: status, efficiency limits, reliability, as an energy harvesting technology."
"ECE 525","Advanced Solid State Microwave Circuits","General properties and design of linear and nonlinear solid state microwave circuits including: amplifier gain blocks, low-noise, broadband and power amplifiers, oscillators, mixer and multiplier circuits, packaging, system implementation for wireless communication. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"ECE 526","Plasmonics","This is the study of optical phenomena related to the electromagnetic response of conductors. This course will provide basic knowledge to understand and apply principles of plasmonics. Students will be introduced to nanofabrication and characterization techniques. Optical, electronic, magnetic, thermal and biomedical applications of plasmonics will be discussed."
"ECE 527","Power Semiconductor Devices","Introduction to power semiconductor devices. Analysis of DC and switching behavior of power MOSFETs, IGBT, HEMT, thyristor, Schottky diode, PiN diode, and emerging devices. Power semiconductor materials, device fabrication, packaging, and thermal modeling. Use of commercial numerical simulation software to model power device performance."
"ECE 528","Principles of Microelectronics Process Technology","Theoretical analysis of the chemistry and physics of process technologies used in micro-electronics fabrication. Topics include: semiconductor growth, material characterization, lithography tools, photo-resist models, thin film deposition, chemical etching, plasma etching, electrical contact formation, micro-structure processing and process modeling."
"ECE 529","Semiconductor Lasers and LEDs","Optical processes in semiconductors, spontaneous emission, absorption gain, stimulated emission. Principles of light-emitting diodes, including transient effects, spectral and spatial radiation fields. Principles of semiconducting lasers; gain-current relationships, radiation fields, optical confinement and transient effects."
"ECE 530","Electromagnetic Theory I","Maxwell's equations, constitutive relations and boundary conditions. Potentials and the representation of electromagnetic fields. Uniqueness, duality, equivalence, reciprocity and Babinet's theorems. Plane, cylindrical, and spherical waves. Waveguides and elementary antennas. The limiting case of electro- and magneto-statics."
"ECE 531","Antenna Theory and Design","Theory of transmitting and receiving antennas. Reciprocity. Wire antennas: dipoles, loops and traveling-wave antennas. Analysis and synthesis of linear arrays. Phased arrays. Input impedance and method of moments. Mutual impedance. Aperture antennas: slot, Babinet's principle. Microstrip antennas. Horns, reflector and lens antennas."
"ECE 532","Microwave Remote Sensing I: Radiometry","Theory, systems and applications of active and passive microwave remote sensing: radiative transfer; blackbody radiation; microwave radiometry; atmospheric propagation and emission; radiometer receivers; surface and volume scattering and emission; radar systems; resolution techniques; calibration; synthetic aperture radar; scatterometers; applications to meteorology, oceanography and hydrology."
"ECE 533","Microwave Measurements Laboratory","Advanced topics in microwave measurements: power spectrum and noise measurement, introduction to state-of-the-art microwave test equipment, methods for measuring the dielectric constant of materials, polarimetric radar cross section measurements, near field antenna pattern measurements, electromagnetic emission measurement (EM compatibility). Followed by a project that will include design, analysis, and construction of a microwave subsystem."
"ECE 534","Analysis of Electric Power Distribution Systems and Loads","This course covers the fundamentals of electric power distribution systems and electric loads, including distribution grid components, topologies, and operational strategies; three-phase unbalanced power flow; electric load modeling, analysis, and control; and emerging topics such as photovoltaic and electric vehicle interconnection, distribution automation, and advanced metering infrastructure."
"ECE 535","Power System Dynamics and Control","The course introduces angle and voltage stability concepts and considers control strategies for improving dynamic performance. It provides an overview of nonlinear dynamical systems, Lyapunov methods and bifurcation analysis. Models of dynamical devices are developed. Small disturbance (linear) analysis techniques are presented, along with methods for assessing large disturbance (nonlinear) behavior."
"ECE 536","Power System Markets & Optimization","This course covers the fundamentals of electric power system markets, including the economic principles they are based upon. It also covers the optimization methods required to solve planning and operational problems including economic dispatch, optimal power flow, and unit commitment. Problems are placed in the context of real electricity markets."
"ECE 537","Classical Optics","Theory of electromagnetic, physical, and geometrical optics. Classical theory of dispersion. Linear response, Kramers-Kronig relations, and pulse propagation. Light scattering. Geometrical optics and propagation in inhomogeneous media. Dielectric waveguides. Interferometry and theory of coherence. Diffraction, Fresnel and Fraunhofer. Gaussian beams and ABCD law."
"ECE 538","Optical Waves in Crystals","Propagation of laser beams: Gaussian wave optics and the ABCD law. Manipulation of light by electrical, acoustical waves; crystal properties and the dielectric tensor; electro-optic, acousto-optic effects and devices. Introduction to nonlinear optics; harmonic generation, optical rectification, four-wave mixing, self-focusing and self-phase modulation."
"ECE 539","Lasers","Complete study of laser operation: the atom-field interaction; homogeneous and inhomogeneous broadening mechanisms; atomic rate equations; gain and saturation; laser oscillation; laser resonators, modes, and cavity equations; cavity modes; laser dynamics, Q-switching and modelocking. Special topics such as femto-seconds lasers and ultrahigh power lasers."
"ECE 540","Applied Quantum Mechanics I","Introduction to nonrelativistic quantum mechanics. Summary of classical mechanics, postulates of quantum mechanics and operator formalism, stationary state problems (including quantum wells, harmonic oscillator, angular momentum theory and spin, atoms and molecules, band theory in solids), time evolution, approximation methods for time independent and time dependent interactions including electromagnetic interactions, scattering."
"ECE 541","Applied Quantum Mechanics II","Continuation of nonrelativistic quantum mechanics. Advanced angular momentum theory, second quantization, non-relativistic quantum electrodynamics, advanced scattering theory, density matrix formalism, reservoir theory."
"EECS 542","Advanced Topics in Computer Vision","Advanced topics in computer vision. Topics are selected from large-scale vision and language foundation models, generative methods such as denoising diffusion and energy-based models, discriminative methods such as contrastive learning and few-shot classification, neural net architectures, model optimization and compression, current research on recognition, detection, segmentation, tracking, inferring depth, reconstructing scenes in 2D, 3D, and 4D, multimodal perception and robotics."
"CSE 543","Ethics for AI and Robotics","Ethical issues raised by AI and Robotics. Foundations in philosophical ethics and game theory; trust, cooperation, and the well-being of society; safety and autonomous vehicles; privacy and surveillance; fairness and bias; jobs and economic inequality; regulation of AI."
"ECE 544","Analysis of Societal Networks","In the modern world we depend on the efficiency of a myriad of societal networks to transact many activities. This course analyzes them (how they are connected, how they form, and how processes and transactions occur on them) using mathematical tools from graph theory, linear algebra, probability and game theory."
"EECS 545","Machine Learning (CSE)","Fundamentals of supervised, unsupervised, and sequential learning, including linear and nonlinear regression, logistic regression, support vector machines and kernel methods, decision trees, ensemble methods, neural networks and deep learning, dimension reduction, clustering, and probabilistic models. Emphasis on implementation and application to real-world data. Includes algorithms and derivations from fundamental principles."
"ECE 546","Ultrafast Optics","Propagation of ultrashort optical pulses in linear and nonlinear media, and through dispersive optical elements. Laser mode-locking and ultrashort pulse generation. Chirped-pulse amplification. Experimental techniques for high time resolution. Ultrafast Optoelectronics. Survey of ultrafast high field interactions."
"CSE 547","Incentives and Strategic Behavior in Computational Systems","Modeling and analysis of strategic decision environments from combined computational and economic perspectives. Essential elements of game theory, including solution concepts and equilibrium computation. Design and analysis of mechanisms for problems motivated by areas such as electronic commerce, social computing, social choice, and information elicitation."
"CSE 548","Information Visualizaiton","Introduction to information visualization. Topics include data and image models, multidimensional and multivariate data, design principles for visualization, hierarchical, network, textual and collaborative visualization, the visualization pipeline, data processing for visualization, visual representations, visualization system interaction design, and impact of perception. Emphasizes construction of systems using graphics application programming interfaces (APIs) and analysis tools."
"CSE 549","Information Retrieval","Information is everywhere. We encounter it in our everyday lives in the form of E-mail, newspapers, television, the Web, and even in conversations with each other. Information is hidden in a variety of media: text, images, sounds, videos. While casual information consumers can simply enjoy its abundance and appreciate the existence of search engines that can help them find what they want, information professionals are responsible for building the underlying technology that search engines use. Building a search engine involves a lot more than indexing some documents — information retrieval is the study of the interaction between users and large information environments. It covers concepts such as information need, documents and queries, indexing and searching, retrieval evaluation, multimedia and hypertext search, Web search, as well as bibliographical databases. In this course, students go over some classic concepts of information retrieval and then quickly jump to the current state of the art in the field, where crawlers, spiders, and hard-of-hearing personal butlers roam."
"ECE 550","Information Theory","Measures of information, such as entropy, conditional entropy, mutual and directed information and Kullback-Leibler divergence; fundamental limits to the performance of communication systems, including source coding (data compression) and channel coding (reliable transmission through noisy media); elementary source and channel coding techniques; information theoretic bounds on the performance of estimation/decision systems."
"ECE 551","Matrix Methods for Signal Processing, Data Analysis and Machine Learning","Theory and application of matrix methods to signal processing, data analysis and machine learning. Theoretical topics include subspaces, eigenvalue and singular value decomposition, projection theorem, constrained, regularized and unconstrained least squares techniques and iterative algorithms. Applications such as image deblurring, ranking of webpages, image segmentation and compression, social networks, matrix completion, recommender systems and handwritten digit recognition."
"ECE 552","Fiber Optics: Internet to Biomedical Applications","This course covers the basics of fibers and applications in fields as diverse as high power and broadband lasers, bio-medical diagnostics and therapeutics, telecommunications and internet communications. Propagation, optical amplification and nonlinearities in fibers are discussed, and examples include transmission systems and lasers. Biomedical applications include dermatology, cardiology and opthamology."
"EECS 553","Machine Learning (ECE)","Fundamentals of supervised, unsupervised, and sequential learning, including linear and nonlinear regression, logistic regression, support vector machines and kernel methods, decision trees, ensemble methods, neural networks and deep learning, dimension reduction, clustering, and probabilistic models. Emphasis on algorithms and their derivation from fundamental principles, includes applications to real-world data. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"ECE 554","Introduction to Digital Communication and Coding","Digital transmission of information across discrete and analog channels. Sampling; quantization; noiseless source codes for data compression: Huffman's algorithm and entropy; block and convolutional channel codes for error correction; channel capacity; digital modulation methods: PSK, MSK, FSK, QAM; matched filter receivers. Performance analysis: power, bandwidth, data rate and error probability."
"ECE 555","Digital Communication Theory","Theory of digital modulation and coding. Optimum receivers in Gaussian noise. Signal space and decision theory. Signal design. Bandwidth and dimensionality. Fundamental limits in coding and modulation. Capacity and cutoff rate. Block, convolutional and trellis coding. Continuous phase modulation. Filtered channels and intersymbol interference. Equalization. Spread-spectrum. Fading channels. Current topics."
"ECE 556","Image Processing","Theory and application of digital image processing. Sampling, filtering, 2D Fourier transforms, interpolation, edge detection, enhancement, denoising, restoration, segmentation, random field models of images, Bayesian methods, wavelets and sparsity models. Applications include optical imaging, biomedical images, video and image compression. Student projects based on recent image processing literature. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"ECE 557","Communication Networks","System architectures. Data link control: error correction, protocol analysis, framing. Message delay: Markov processes, queuing, delays in statistical multiplexing, multiple users with reservations, limited service, priorities. Network delay: Kleinrock independence, reversibility, traffic flows, throughput analysis, Jackson networks. Multiple access networks: ALOHA and splitting protocols, carrier sensing, multi-access reservations."
"ECE 558","Stochastic Control","Analysis and optimization of controlled stochastic systems. Models: linear and nonlinear stochastic controlled systems, controlled Markov chains. Optimization of systems described by Markov processes; dynamic programming under perfect and imperfect information, finite and infinite horizons. System identification: off-line, recursive. Stochastic adaptive control: Markov chains, self-tuning regulators, bandit problems."
"ECE 559","Optimization Methods in Signal Processing and Machine Learning","Theory and application of optimization methods for signal and image processing and machine learning problems. Algorithms include gradient-based methods, proximal methods, and duality-based methods. Applications include signal denoising, compressed sensing, matrix completion, robust regression, and classifier design."
"ECE 560","Linear Systems Theory","Linear spaces and linear operators. Bases, subspaces, eigenvalues and eigenvectors, canonical forms. Linear differential and difference equations. Mathematical representations: state equations, transfer functions, impulse response, matrix fraction and polynomial descriptions. System-theoretic concepts: causality, controllability, observability, realizations, canonical decomposition, stability."
"ECE 561","Design of Digital Control Systems","Sampling and data reconstruction. Z-transforms and state variable descriptions of discrete-time systems. Modeling and identification. Analysis and design using root locus, frequency response and state space techniques. Linear quadratic optimal control and state estimation. Quantization and other nonlinearities."
"ECE 562","Nonlinear Systems and Control","Introduction to the analysis and design of nonlinear systems and nonlinear control systems. Stability analysis using Liapunov, input-output and asymptotic methods. Design of stabilizing controllers using a variety of methods: linearization, absolute stability theory, vibrational control, sliding modes and feedback linearization."
"ECE 563","Hybrid Systems, Analysis, and Control","Introduction to analysis and design of hybrid systems and hybrid control systems. Hybrid system modeling formalisms, specifications (automata theory, temporal logics), verification (barrier certificates, reachable sets, abstraction-based methods) and control synthesis. Stability of switched/hybrid systems. Applications of convex geometry and convex optimization in control. Model-predictive control of hybrid systems."
"ECE 564","Estimation, Filtering, and Detection","Principles of estimation, linear filtering and detection. Estimation: linear and nonlinear minimum mean squared error estimation, and other strategies. Linear filtering: Wiener and Kalman filtering. Detection: simple, composite, binary and multiple hypotheses. Neyman-Pearson and Bayesian approaches."
"ECE 565","Linear Feedback Control Systems","Control design concepts for linear multivariable systems. Review of single variable systems and extensions to multivariable systems. Purpose of feedback. Sensitivity, robustness, and design tradeoffs. Design formulations using both frequency domain and state space descriptions. Pole placement/observer design. Linear quadratic Gaussian based design methods. Design problems unique to multivariable systems."
"ECE 566","Discrete Event Systems","Modeling, analysis, and control of discrete event dynamical systems. Modeling formalisms considered include state machines, Petri nets, and recursive processes. Supervisory control theory; notions of controllable and observable languages. Analysis and control of Petri nets. Communicating sequential processes. Applications to database, management, manufacturing, and communication protocols."
"ECE 567","Reinforcement Learning Theory","Basic theories and principles of reinforcement learning, and model-based and model-free reinforcement learning algorithms. Topics: Value iteration, policy iteration, Q-learning, SARSA, policy-gradient, variance reduction, linear and nonlinear function approximation, deep reinforcement learning, exploration-exploitation, convergence analysis, regret analysis."
"EECS 567","Robot Kinematics and Dynamics","Geometry, kinematics, differential kinematics, dynamics, and control of robot manipulators. The mathematical tools required to describe spatial motion of a rigid body will be presented in full. Motion planning including obstacle avoidance is also covered."
"EECS 568","Mobile Robotics: Methods and Algorithms","Theory and applications of probabilistic techniques for autonomous mobile robotics. This course will present and critically examine contemporary algorithms for robot perception (using a variety of modalities), state estimation, mapping, and path planning. Topics include Bayesian filtering; stochastic representations of the environment; motion and sensor models for mobile robots; algorithms for mapping, localization, planning and control in the presence of uncertainty; application to autonomous marine, ground and air vehicles."
"ECE 569","Production Systems Engineering","Production Systems Engineering (PSE) investigates fundamental laws that govern production systems and utilizes them for analysis, design, and continuous improvement. the topics covered include quantitative methods for analysis and design, improvability, measurement-based management, and the PSE Toolbox. the skills acquired will make students marketable as engineering managers of manufacturing organizations."
"EECS 570","Parallel Computer Architecture","Architectures for explicit parallelism. Multithreaded processors, small- and large-scale multiprocessor systems. Shared-memory coherence and consistency. Effect of architecture on communication latency, bandwidth, and overhead. Latency tolerance techniques. Interconnection networks. Case studies. Term projects."
"EECS 571","Principles of Real-Time Computing","Principles of real-time computing based on high performance, ultra reliability and environmental interface. Architectures, algorithms, operating systems and applications that deal with time as the most important resource. Real-time scheduling, communications and performance evaluation."
"CSE 572","Randomness and Computation","Fundamentals of randomness and its pervasive use in computer science, including the probabilistic method, the design and analysis of algorithms, computational complexity, cryptography, combinatorics, logic and proof systems, and related topics."
"EECS 573","Microarchitecture","Graduate-level introduction to the foundations of high performance microprocessor implementation. Problems involving instruction supply, data supply and instruction processing. Compile-time vs. run-time tradeoffs. Aggressive branch prediction. Wide-issue processors, in-order vs. out-of-order execution, instruction retirement. Case studies taken from current microprocessors."
"CSE 574","Computational Complexity","Fundamentals of the theory of computation and complexity theory. Computability, undecidability, and logic. Relations between complexity classes, NP-completeness, P-completeness, and randomized computation. Applications in selected areas such as cryptography, logic programming, theorem proving, approximation of optimization problems, or parallel computing."
"CSE 575","Advanced Cryptography","A rigorous introduction to the design of cryptosystems and to cryptanalysis. Topics include cryptanalysis of classical cryptosystems; theoretical analysis of one-way functions; DES and differential cryptanalysis; the RSA cryptosystem; ElGamal, elliptic, hyperelliptic and hidden mononomial cryptosystems; attacks on signature schemes, identification schemes and authentication codes; secret sharing; and zero knowledge."
"CSE 576","Advanced Data Mining","Advanced topics in data mining. A mix of lectures, readings, and a semester-long group project will familiarize the students with recent methods for analyzing large-scale, real-world data and networks, and applications in various domains (e.g., web science, social science, neuroscience)."
"CSE 577","Formal Verification of Hardware and Software Systems","Scalable formal automated reasoning for checking the compliance of a state transition system with its safety requirements. Focus is on application to discrete finite-state systems that model hardware and software as well as infinite-state systems that model distributed protocols. Topics include propositional satisfiability (SAT) and SAT modulo theories (SMT) solving, predicate and data abstraction, and minimal unsatisfiable subset (MUS) extraction. Includes hands-on use of state-of-the-art formal verification tools."
"EECS 578","Correct Operation for Processors and Embedded Systems","Graduate-level introduction to topics in correctness of modern processors, embedded systems, and accelerator designs (e.g., GPUs). Robust and reliable design techniques. Hardware security assurance. Design verification: simulation, formal techniques, and post-silicon validation. Quality of services and energy management for correctness of implementation. Term projects."
"EECS 579","Digital System Testing","Overview of fault-tolerant computing. Fault sources and models. Testing process. Combinational circuit testing. D-Algorithm and PODEM. Sequential circuit testing. Checking experiments. RAM and microprocessor testing. Fault simulation. Design for testability. Testability measures. Self-testing circuits and systems."
"CSE 582","Advanced Operating Systems","Course discusses advanced topics and research issues in operating systems. Topics will be drawn from a variety of operating systems areas such as distributed systems and languages, networking, security and protection, real-time systems, modeling and analysis, etc."
"CSE 583","Advanced Compilers","In-depth study of compiler back-end design for high-performance architectures. Topics include control-flow and data-flow analysis, optimization, instruction scheduling, register allocation. Advanced topics include memory hierarchy management, instruction-level parallelism, predicated and speculative execution. The class focus is processor-specific compilation techniques, thus familiarity with both computer architecture and compilers is recommended."
"CSE 584","Advanced Database Systems","Advanced topics and research issues in database management systems. Distributed databases, advanced query optimization, query processing, transaction processing, data models and architectures. Data management for emerging application areas, including bioinformatics, the internet, OLAP and data mining. A substantial course project allows in-depth exploration of topics of interest."
"CSE 585","Advanced Scalable Systems","Advanced topics and research issues in cloud computing that deal with massive computation, data, and user base. Topics include challenges faced when designing, developing, and deploying web-scale distributed systems for emerging systems for Big Data and AI/ML workloads running in the cloud, observed through diverse perspectives such as operating systems, networking, distributed systems, compiler and programming language, database, security/privacy, etc."
"CSE 586","Design and Analysis of Algorithms","Design of algorithms for nonnumeric problems involving sorting, searching, scheduling, graph theory and geometry. Design techniques such as approximation, branch-and-bound, divide-and-conquer, dynamic programming, greed and randomization applied to polynomial and NP-hard problems. Analysis of time and space utilization."
"CSE 587","Parallel Computing","The development of programs for parallel computers. Basic concepts such as speedup, load balancing, latency, system taxonomies. Design of algorithms for idealized models. Programming on parallel systems such as shared or distributed memory machines, networks. Grid Computing. Performance analysis. Course includes a substantial term project."
"CSE 588","Computer and Network Security","Survey of advanced topics and research issues in computer and network security. Topics will be drawn from a variety of areas such as mandatory and discretionary security policies, secure storage, security kernels, trust management, preventing software vulnerabilities, applied cryptography, network security."
"CSE 589","Advanced Computer Networks","Advanced topics and research issues in computer networks. Topics include routing protocols, multicast delivery, congestion control, quality of service support, network security, pricing and accounting and wireless access and mobile networking. Emphasis is placed on performance trade-offs in protocol and architecture designs. Readings assigned from research publications. A course project allows in-depth exploration of topics of interest."
"CSE 590","Advanced Programming Languages","Fundamental concepts in Programming Languages (PL) as well as recent topics and trends in PL research. Topics include semantics, type systems, program verification using theorem provers, software model checking, and program analysis. Course focuses on applying PL concepts to improve software reliability. Course includes a semester-long individual research project."
"ECE 590","Skills for Success in Graduate Studies","Seminars by faculty and staff from EECS, the College of Engineering, and the Rackham graduate school to assist incoming graduate students with the transition to graduate school. Provides introductions to various campus resources as well as insights on how to succeed in graduate school."
"CSE 591","Distributed Systems","Principles and practice of distributed system design. Computations, consistency semantics and failure models. Programming paradigms including group communication, RPC, distributed shared memory, and distributed objects. Operating system kernel support; distributed system services including replication, caching, file system management, naming, clock synchronization and multicast communication. Case studies."
"CSE 592","Foundations of Artificial Intelligence","An advanced introduction to AI emphasizing its theoretical underpinnings. Topics include search, logic, knowledge representation, reasoning planning, decision making under uncertainty, and machine learning."
"CSE 593","Human-Computer Interaction","Principles (e.g., human-centered systems design, usability, accessibility) and methods (e.g., requirements gathering, functional prototyping, user study evaluation) of technical Human-Computer Interaction (HCI) research. Survey of HCI research threads including Human-AI Interaction, Social Computing, Behavior Modeling, Education Technologies. Group assignments give students exposure to HCI research methods."
"CSE 594","Human-AI Interaction & Systems","Principles and methods of designing and evaluating human-AI interaction and systems that are useful, usable, and ethical. Topics include human-AI teaming and collaboration, crowdsourcing and human computation, explainable AI, fairness and auditing. Students will design, develop, and evaluate human-AI systems, addressing real-world needs and ethical considerations."
"CSE 595","Natural Language Processing","Linguistic fundamentals of natural language processing (NLP), part of speech tagging, hidden Markov models, syntax and parsing, lexical semantics, compositional semantics, word sense disambiguation, machine translation. Additional topics such as sentiment analysis, text generation, and deep learning for NLP."
"CSE 596","Engineering Interactive Systems","Engineering Interactive Systems, encompassing research areas in Human-Computer Interaction, Ubiquitous Computing, and Mobile Systems. Covers principles of designing, prototyping, and evaluating interactive computing systems, focusing on practical applications in the Internet of Things, health, wearables, and smart environments."
"ECE 596","Master of Engineering Team Project","To be elected by ECE students pursuing the Master of Engineering degree. Students are expected to work in project teams. May be taken more than once up to a total of 6 credit hours."
"CSE 597","Language and Information","This course introduces a body of quantitative techniques for modeling and analyzing natural language and for extracting useful information from texts. The theory includes Hidden Markov Models and the noisy channel model, information theory, supervised and unsupervised machine learning, and probabilistic context-free and context-sensitive grammars. Aspects of natural language analysis include phrasal lexicon induction, part of speech assignment, entity recognition, parsing, and statistical machine translation."
"CSE 598","Special Topics","Topics of current interest in computer science and engineering. Lectures, seminar or laboratory. Can be taken more than once for credit."
"ECE 598","Special Topics","Topics of current interest in electrical computer and engineering. Lectures, seminar or laboratory. Can be taken more than once for credit."
"CSE 599","Directed Study","Individual study of selected advanced topics in computer science and engineering. May include experimental work or reading. Primarily for graduate students. To be graded on satisfactory/unsatisfactory basis ONLY."
"ECE 599","Directed Study","Individual study of selected advanced topics in electrical and computer engineering. May include experimental work or reading. Primarily for graduate students. To be graded on satisfactory/unsatisfactory basis ONLY."
"ECE 600","Function Space Methods in System Theory","Introduction to the description and analysis of systems using function analytic methods. Metric spaces, normed linear spaces, Hilbert spaces, resolution spaces. Emphasis on using these concepts in systems problems."
"CSE 601","Introduction to CSE Graduate Research","An introduction for incoming Ph.D. students and research-focused Master's students to a wide range of topics critical to academic research. Rotating speakers will give perspective on the research process, time management, publishing in CS, managing the highs and lows of grad school, advisor interactions, career paths, etc."
